,train,val,test
TCGA-06-0122-01Z-00-DX1.fb97a66e-2720-45e9-af2a-694505d1b808,True,False,False
TCGA-06-0122-01Z-00-DX2.8ccb2e31-03b4-4b49-88af-8412b68a901c,True,False,False
TCGA-06-0124-01Z-00-DX6.6f47506a-94ca-4f3e-a824-dd6098cdc911,True,False,False
TCGA-06-0125-01Z-00-DX1.8e0915b2-8dc3-4753-8062-05643835672b,True,False,False
TCGA-06-0125-01Z-00-DX2.4f9cef92-2bdb-480d-8704-94289f8b70fb,True,False,False
TCGA-06-0126-01Z-00-DX1.35fbd316-d2a0-421f-a822-07e52ca87d92,True,False,False
TCGA-06-0126-01Z-00-DX2.9754eddf-27d1-44ae-8bf7-74fa7c6ae431,True,False,False
TCGA-06-0127-01Z-00-DX1.2f717825-f1b4-4ccf-8b38-35c1db04ae49,True,False,False
TCGA-06-0127-01Z-00-DX2.f1ab580e-88c3-4fb3-ab6e-114b0a89c4f1,True,False,False
TCGA-06-0127-01Z-00-DX3.2e311110-3d6f-4864-9cd4-d8e716cb4db6,True,False,False
TCGA-06-0130-01Z-00-DX2.174bf8b2-127b-437e-b8dc-90c9f1007617,True,False,False
TCGA-06-0133-01Z-00-DX2.fbda343a-e928-44d6-85a0-2080ced06dd9,True,False,False
TCGA-06-0137-01Z-00-DX2.10a13f6d-b5f1-4fcb-9bf6-718dfbef3251,True,False,False
TCGA-06-0137-01Z-00-DX3.84d2c007-be53-431d-b5d6-1bb62d28cafb,True,False,False
TCGA-06-0137-01Z-00-DX4.140591f4-dc4d-493d-9a70-bed1335dd1c1,True,False,False
TCGA-06-0137-01Z-00-DX5.0f06ca27-54e2-490a-8afb-a19600e60619,True,False,False
TCGA-06-0137-01Z-00-DX6.20d3049a-547a-49db-bf2c-59d8762441ea,True,False,False
TCGA-06-0137-01Z-00-DX7.c0c25c01-8602-47a5-8d52-cb323c3432d2,True,False,False
TCGA-06-0137-01Z-00-DX8.a5703515-8d5f-4bfd-8f5a-a66581641e3b,True,False,False
